bk
ak
bk
ak
bk
ID: 0	 X: -0.43	 Y: 0.83	 Z: 0.00 	 W: 0.00
ID: 1	 X: -0.68	 Y: 1.04	 Z: 0.00 	 W: 0.00
ID: 2	 X: 1.15	 Y: 4.05	 Z: 0.00 	 W: 0.00
ID: 3	 X: -0.11	 Y: 4.46	 Z: 0.00 	 W: 0.00
ID: 4	 X: -1.63	 Y: 4.94	 Z: 0.00 	 W: 0.00
ID: 5	 X: -1.74	 Y: 5.17	 Z: 0.00 	 W: 0.00
ID: 6	 X: -1.29	 Y: 6.05	 Z: 0.00 	 W: 0.00
ID: 7	 X: -1.23	 Y: 6.33	 Z: 0.00 	 W: 0.00
ID: 8	 X: -0.80	 Y: 6.64	 Z: 0.00 	 W: 0.00
ID: 9	 X: 6.82	 Y: 6.48	 Z: 0.00 	 W: 0.00
ID: 10	 X: 6.80	 Y: 6.86	 Z: 0.00 	 W: 0.00
ak
ID: 0	 X: -0.43	 Y: 0.83	 Z: 0.00 	 W: 0.00
ID: 1	 X: -0.68	 Y: 1.04	 Z: 0.00 	 W: 0.00
ID: 2	 X: -1.74	 Y: 5.16	 Z: 0.00 	 W: 0.00
ID: 3	 X: -1.63	 Y: 4.95	 Z: 0.00 	 W: 0.00
ID: 4	 X: -1.23	 Y: 6.33	 Z: 0.00 	 W: 0.00
ID: 5	 X: 1.15	 Y: 4.05	 Z: 0.00 	 W: 0.00
ID: 6	 X: -0.80	 Y: 6.64	 Z: 0.00 	 W: 0.00
ID: 7	 X: 6.80	 Y: 6.86	 Z: 0.00 	 W: 0.00
ID: 8	 X: 6.83	 Y: 6.50	 Z: 0.00 	 W: 0.00
ID: 9	 X: -0.11	 Y: 4.46	 Z: 0.00 	 W: 0.00
ID: 10	 X: -1.29	 Y: 6.05	 Z: 0.00 	 W: 0.00
bk
ID: 0	 X: 0.81	 Y: 1.53	 Z: 0.00 	 W: 0.00
ID: 1	 X: 0.21	 Y: 2.22	 Z: 0.00 	 W: 0.00
ID: 2	 X: -0.93	 Y: 3.59	 Z: 0.00 	 W: 0.00
ID: 3	 X: -1.01	 Y: 3.82	 Z: 0.00 	 W: 0.00
ID: 4	 X: -1.42	 Y: 4.32	 Z: 0.00 	 W: 0.00
ID: 5	 X: -1.88	 Y: 4.21	 Z: 0.00 	 W: 0.00
ID: 6	 X: -2.04	 Y: 4.78	 Z: 0.00 	 W: 0.00
ID: 7	 X: -2.14	 Y: 5.01	 Z: 0.00 	 W: 0.00
ID: 8	 X: -2.48	 Y: 5.13	 Z: 0.00 	 W: 0.00
ID: 9	 X: -3.02	 Y: 5.97	 Z: 0.00 	 W: 0.00
ID: 10	 X: -3.64	 Y: 5.90	 Z: 0.00 	 W: 0.00
ID: 11	 X: -3.59	 Y: 6.22	 Z: 0.00 	 W: 0.00
ID: 12	 X: -3.32	 Y: 6.65	 Z: 0.00 	 W: 0.00
ID: 13	 X: 3.34	 Y: 7.46	 Z: 0.00 	 W: 0.00
ID: 14	 X: 3.35	 Y: 7.73	 Z: 0.00 	 W: 0.00
ID: 15	 X: -0.38	 Y: 10.44	 Z: 0.00 	 W: 0.00
ID: 16	 X: 0.59	 Y: 10.88	 Z: 0.00 	 W: 0.00
ak
ID: 0	 X: 0.81	 Y: 1.53	 Z: 0.00 	 W: 0.00
ID: 1	 X: 0.21	 Y: 2.22	 Z: 0.00 	 W: 0.00
ID: 2	 X: -1.00	 Y: 3.82	 Z: 0.00 	 W: 0.00
ID: 3	 X: -1.43	 Y: 4.32	 Z: 0.00 	 W: 0.00
ID: 4	 X: -1.88	 Y: 4.21	 Z: 0.00 	 W: 0.00
ID: 5	 X: -2.04	 Y: 4.78	 Z: 0.00 	 W: 0.00
ID: 6	 X: -2.13	 Y: 5.01	 Z: 0.00 	 W: 0.00
