bk
ID: 0	 X: -3.49	 Y: 2.80	 Z: 0.00 	 W: 0.00
ID: 1	 X: -3.58	 Y: 3.05	 Z: 0.00 	 W: 0.00
ID: 2	 X: 8.50	 Y: 9.67	 Z: 0.00 	 W: 0.00
ID: 3	 X: 8.77	 Y: 9.86	 Z: 0.00 	 W: 0.00
ID: 4	 X: 5.40	 Y: 15.42	 Z: 0.00 	 W: 0.00
ID: 5	 X: 5.98	 Y: 15.57	 Z: 0.00 	 W: 0.00
ID: 6	 X: 2.66	 Y: 16.88	 Z: 0.00 	 W: 0.00
ID: 7	 X: 2.30	 Y: 17.28	 Z: 0.00 	 W: 0.00
ID: 8	 X: 12.84	 Y: 15.15	 Z: 0.00 	 W: 0.00
ID: 9	 X: 13.60	 Y: 14.75	 Z: 0.00 	 W: 0.00
bk
ID: 0	 X: -3.52	 Y: 2.79	 Z: 0.00 	 W: 0.00
ID: 1	 X: -3.63	 Y: 2.98	 Z: 0.00 	 W: 0.00
ID: 2	 X: -4.06	 Y: 2.83	 Z: 0.00 	 W: 0.00
ID: 3	 X: 8.71	 Y: 9.92	 Z: 0.00 	 W: 0.00
ID: 4	 X: 8.77	 Y: 10.10	 Z: 0.00 	 W: 0.00
ID: 5	 X: 2.35	 Y: 16.93	 Z: 0.00 	 W: 0.00
ID: 6	 X: 2.18	 Y: 17.19	 Z: 0.00 	 W: 0.00
ID: 7	 X: 2.09	 Y: 17.34	 Z: 0.00 	 W: 0.00
ID: 8	 X: 14.55	 Y: 14.16	 Z: 0.00 	 W: 0.00
ID: 9	 X: 14.20	 Y: 14.85	 Z: 0.00 	 W: 0.00
bk
ID: 0	 X: -0.58	 Y: 1.32	 Z: 0.00 	 W: 0.00
ID: 1	 X: -0.63	 Y: 1.61	 Z: 0.00 	 W: 0.00
ID: 2	 X: -0.22	 Y: 3.70	 Z: 0.00 	 W: 0.00
ID: 3	 X: -0.26	 Y: 3.95	 Z: 0.00 	 W: 0.00
ID: 4	 X: -0.10	 Y: 4.21	 Z: 0.00 	 W: 0.00
ID: 5	 X: -3.46	 Y: 3.89	 Z: 0.00 	 W: 0.00
ID: 6	 X: -3.60	 Y: 4.15	 Z: 0.00 	 W: 0.00
ID: 7	 X: -3.55	 Y: 4.46	 Z: 0.00 	 W: 0.00
ID: 8	 X: -3.80	 Y: 4.89	 Z: 0.00 	 W: 0.00
ID: 9	 X: -3.67	 Y: 5.22	 Z: 0.00 	 W: 0.00
ID: 10	 X: -3.65	 Y: 5.61	 Z: 0.00 	 W: 0.00
ID: 11	 X: -3.43	 Y: 6.31	 Z: 0.00 	 W: 0.00
ID: 12	 X: -3.55	 Y: 6.52	 Z: 0.00 	 W: 0.00
ID: 13	 X: -3.64	 Y: 6.78	 Z: 0.00 	 W: 0.00
ID: 14	 X: -3.62	 Y: 7.04	 Z: 0.00 	 W: 0.00
ID: 15	 X: -2.17	 Y: 8.40	 Z: 0.00 	 W: 0.00
ID: 16	 X: -2.28	 Y: 8.61	 Z: 0.00 	 W: 0.00
ID: 17	 X: -2.92	 Y: 8.68	 Z: 0.00 	 W: 0.00
ID: 18	 X: -5.51	 Y: 8.14	 Z: 0.00 	 W: 0.00
ID: 19	 X: -4.96	 Y: 8.85	 Z: 0.00 	 W: 0.00
ID: 20	 X: -5.25	 Y: 8.98	 Z: 0.00 	 W: 0.00
ID: 21	 X: -4.88	 Y: 10.57	 Z: 0.00 	 W: 0.00
ID: 22	 X: -5.79	 Y: 10.49	 Z: 0.00 	 W: 0.00
ID: 23	 X: -5.61	 Y: 12.14	 Z: 0.00 	 W: 0.00
ID: 24	 X: -5.62	 Y: 12.35	 Z: 0.00 	 W: 0.00
ID: 25	 X: 12.33	 Y: 8.72	 Z: 0.00 	 W: 0.00
ID: 26	 X: 12.82	 Y: 8.28	 Z: 0.00 	 W: 0.00
ID: 27	 X: 9.18	 Y: 13.22	 Z: 0.00 	 W: 0.00
ID: 28	 X: 9.10	 Y: 13.44	 Z: 0.00 	 W: 0.00
ID: 29	 X: 9.75	 Y: 13.35	 Z: 0.00 	 W: 0.00
bk
ID: 0	 X: -3.54	 Y: 2.77	 Z: 0.00 	 W: 0.00
ID: 1	 X: -3.65	 Y: 2.96	 Z: 0.00 	 W: 0.00
ID: 2	 X: -3.79	 Y: 3.19	 Z: 0.00 	 W: 0.00
ID: 3	 X: 8.27	 Y: 9.88	 Z: 0.00 	 W: 0.00
ID: 4	 X: 8.65	 Y: 9.97	 Z: 0.00 	 W: 0.00
ID: 5	 X: 8.64	 Y: 10.20	 Z: 0.00 	 W: 0.00
ID: 6	 X: 10.17	 Y: 11.58	 Z: 0.00 	 W: 0.00
ID: 7	 X: 10.63	 Y: 11.38	 Z: 0.00 	 W: 0.00
ID: 8	 X: 5.59	 Y: 15.38	 Z: 0.00 	 W: 0.00
ID: 9	 X: 6.59	 Y: 15.22	 Z: 0.00 	 W: 0.00
ID: 10	 X: 2.66	 Y: 16.88	 Z: 0.00 	 W: 0.00
ID: 11	 X: 2.28	 Y: 17.18	 Z: 0.00 	 W: 0.00
bk
ID: 0	 X: -0.58	 Y: 1.32	 Z: 0.00 	 W: 0.00
ID: 1	 X: -0.64	 Y: 1.61	 Z: 0.00 	 W: 0.00
ID: 2	 X: -0.27	 Y: 3.70	 Z: 0.00 	 W: 0.00
ID: 3	 X: -0.24	 Y: 3.95	 Z: 0.00 	 W: 0.00
ID: 4	 X: -0.08	 Y: 4.21	 Z: 0.00 	 W: 0.00
ID: 5	 X: -3.18	 Y: 3.80	 Z: 0.00 	 W: 0.00
ID: 6	 X: -3.46	 Y: 3.89	 Z: 0.00 	 W: 0.00
ID: 7	 X: -3.62	 Y: 4.12	 Z: 0.00 	 W: 0.00
