bk
ID: 0	 X: -0.27	 Y: 1.29	 Z: 0.61 	 W: 13.82
ID: 1	 X: 0.50	 Y: 1.32	 Z: 0.53 	 W: 13.82
ID: 2	 X: -0.19	 Y: 1.40	 Z: 0.60 	 W: 13.82
ID: 3	 X: -0.09	 Y: 3.49	 Z: 0.46 	 W: 13.82
ID: 4	 X: -0.11	 Y: 3.63	 Z: 0.45 	 W: 13.82
ID: 5	 X: -0.90	 Y: 4.12	 Z: -0.09 	 W: 13.82
ID: 6	 X: -0.93	 Y: 4.23	 Z: -0.16 	 W: 13.82
ID: 7	 X: 1.65	 Y: 4.18	 Z: -0.43 	 W: 13.82
ID: 8	 X: 1.68	 Y: 4.25	 Z: -0.44 	 W: 13.82
ak
ID: 0	 X: -0.90	 Y: 4.12	 Z: -0.09 	 W: 0.00
ID: 1	 X: -0.10	 Y: 3.49	 Z: 0.47 	 W: 0.00
ID: 2	 X: 1.59	 Y: 4.25	 Z: -0.46 	 W: 0.00
ID: 3	 X: -0.11	 Y: 3.63	 Z: 0.45 	 W: 0.00
ID: 4	 X: -0.41	 Y: 1.27	 Z: 0.66 	 W: 0.00
ID: 5	 X: -0.20	 Y: 1.41	 Z: 0.46 	 W: 0.00
ID: 6	 X: -0.93	 Y: 4.23	 Z: -0.45 	 W: 0.00
ID: 7	 X: 1.61	 Y: 4.23	 Z: -0.44 	 W: 0.00
ID: 8	 X: 0.36	 Y: 1.37	 Z: 0.54 	 W: 0.00
bk
ID: 0	 X: -0.27	 Y: 1.29	 Z: 0.59 	 W: 0.00
ID: 1	 X: 0.50	 Y: 1.32	 Z: 0.53 	 W: 0.00
ID: 2	 X: -0.19	 Y: 1.40	 Z: 0.59 	 W: 0.00
ID: 3	 X: -0.09	 Y: 3.49	 Z: 0.46 	 W: 0.00
ID: 4	 X: -0.11	 Y: 3.63	 Z: 0.45 	 W: 0.00
ID: 5	 X: -0.90	 Y: 4.12	 Z: -0.10 	 W: 0.00
ID: 6	 X: -0.93	 Y: 4.23	 Z: -0.18 	 W: 0.00
ID: 7	 X: 1.66	 Y: 4.17	 Z: -0.40 	 W: 0.00
ID: 8	 X: 1.68	 Y: 4.25	 Z: -0.45 	 W: 0.00
ak
ID: 0	 X: -0.90	 Y: 4.12	 Z: -0.10 	 W: 0.00
ID: 1	 X: -0.07	 Y: 3.49	 Z: 0.45 	 W: 0.00
ID: 2	 X: 1.68	 Y: 4.22	 Z: -0.33 	 W: 0.00
ID: 3	 X: -0.11	 Y: 3.63	 Z: 0.44 	 W: 0.00
ID: 4	 X: -0.05	 Y: 1.36	 Z: 0.46 	 W: 0.00
ID: 5	 X: -0.17	 Y: 1.41	 Z: 0.69 	 W: 0.00
ID: 6	 X: -0.93	 Y: 4.23	 Z: -0.43 	 W: 0.00
ID: 7	 X: 1.63	 Y: 4.22	 Z: -0.43 	 W: 0.00
ID: 8	 X: 0.53	 Y: 1.31	 Z: 0.53 	 W: 0.00
bk
ID: 0	 X: -0.28	 Y: 1.29	 Z: 0.61 	 W: 0.00
ID: 1	 X: 0.50	 Y: 1.32	 Z: 0.52 	 W: 0.00
ID: 2	 X: -0.19	 Y: 1.40	 Z: 0.60 	 W: 0.00
ID: 3	 X: -0.09	 Y: 3.49	 Z: 0.47 	 W: 0.00
ID: 4	 X: -0.11	 Y: 3.63	 Z: 0.45 	 W: 0.00
ID: 5	 X: -0.90	 Y: 4.12	 Z: -0.09 	 W: 0.00
ID: 6	 X: -0.93	 Y: 4.23	 Z: -0.15 	 W: 0.00
ID: 7	 X: 1.66	 Y: 4.17	 Z: -0.40 	 W: 0.00
ID: 8	 X: 1.68	 Y: 4.25	 Z: -0.44 	 W: 0.00
ID: 9	 X: 1.22	 Y: 8.68	 Z: -0.51 	 W: 0.00
ID: 10	 X: 1.09	 Y: 8.83	 Z: -0.62 	 W: 0.00
ak
ID: 0	 X: -0.90	 Y: 4.12	 Z: -0.09 	 W: 0.00
ID: 1	 X: -0.10	 Y: 3.49	 Z: 0.48 	 W: 0.00
ID: 2	 X: 1.54	 Y: 4.27	 Z: -0.39 	 W: 0.00
ID: 3	 X: -0.11	 Y: 3.63	 Z: 0.46 	 W: 0.00
ID: 4	 X: -0.28	 Y: 1.29	 Z: 0.61 	 W: 0.00
ID: 5	 X: -0.31	 Y: 1.38	 Z: 0.60 	 W: 0.00
ID: 6	 X: -0.93	 Y: 4.23	 Z: -0.42 	 W: 0.00
ID: 7	 X: 1.68	 Y: 4.21	 Z: -0.40 	 W: 0.00
ID: 8	 X: 1.22	 Y: 8.68	 Z: -0.51 	 W: 0.00
ID: 9	 X: 0.50	 Y: 1.32	 Z: 0.52 	 W: 0.00
ID: 10	 X: 1.09	 Y: 8.83	 Z: -0.62 	 W: 0.00
bk
ID: 0	 X: -0.27	 Y: 1.29	 Z: 0.60 	 W: 0.00
ID: 1	 X: 0.49	 Y: 1.31	 Z: 0.52 	 W: 0.00
ID: 2	 X: -0.19	 Y: 1.39	 Z: 0.60 	 W: 0.00
ID: 3	 X: -0.09	 Y: 3.49	 Z: 0.47 	 W: 0.00
ID: 4	 X: -0.10	 Y: 3.63	 Z: 0.45 	 W: 0.00
ID: 5	 X: -0.90	 Y: 4.12	 Z: -0.09 	 W: 0.00
ID: 6	 X: -0.93	 Y: 4.23	 Z: -0.16 	 W: 0.00
ID: 7	 X: 1.66	 Y: 4.17	 Z: -0.39 	 W: 0.00
ID: 8	 X: 1.68	 Y: 4.25	 Z: -0.44 	 W: 0.00
ak
ID: 0	 X: -0.90	 Y: 4.12	 Z: -0.09 	 W: 0.00
ID: 1	 X: -0.07	 Y: 3.49	 Z: 0.45 	 W: 0.00
ID: 2	 X: 1.48	 Y: 4.29	 Z: -0.42 	 W: 0.00
ID: 3	 X: -0.10	 Y: 3.63	 Z: 0.45 	 W: 0.00
ID: 4	 X: -0.26	 Y: 1.29	 Z: 0.50 	 W: 0.00
ID: 5	 X: 0.06	 Y: 1.43	 Z: 0.57 	 W: 0.00
ID: 6	 X: -0.92	 Y: 4.23	 Z: -0.40 	 W: 0.00
ID: 7	 X: 1.58	 Y: 4.24	 Z: -0.48 	 W: 0.00
ID: 8	 X: 0.50	 Y: 1.32	 Z: 0.53 	 W: 0.00
bk
ID: 0	 X: -0.26	 Y: 1.29	 Z: 0.60 	 W: 0.00
ID: 1	 X: 0.50	 Y: 1.32	 Z: 0.53 	 W: 0.00
ID: 2	 X: -0.19	 Y: 1.40	 Z: 0.61 	 W: 0.00
ID: 3	 X: -0.09	 Y: 3.49	 Z: 0.47 	 W: 0.00
ID: 4	 X: -0.11	 Y: 3.63	 Z: 0.45 	 W: 0.00
ID: 5	 X: -0.90	 Y: 4.12	 Z: -0.08 	 W: 0.00
ID: 6	 X: -0.93	 Y: 4.23	 Z: -0.16 	 W: 0.00
ID: 7	 X: 1.66	 Y: 4.17	 Z: -0.40 	 W: 0.00
ID: 8	 X: 1.68	 Y: 4.25	 Z: -0.44 	 W: 0.00
ID: 9	 X: 1.22	 Y: 8.67	 Z: -0.41 	 W: 0.00
ID: 10	 X: 1.05	 Y: 8.84	 Z: -0.59 	 W: 0.00
ak
ID: 0	 X: -0.90	 Y: 4.12	 Z: -0.08 	 W: 0.00
ID: 1	 X: -0.10	 Y: 3.49	 Z: 0.48 	 W: 0.00
ID: 2	 X: 1.65	 Y: 4.22	 Z: -0.35 	 W: 0.00
ID: 3	 X: -0.12	 Y: 3.63	 Z: 0.46 	 W: 0.00
ID: 4	 X: 0.49	 Y: 1.58	 Z: 0.15 	 W: 0.00
ID: 5	 X: -0.95	 Y: 4.22	 Z: -0.38 	 W: 0.00
ID: 6	 X: 1.58	 Y: 4.25	 Z: -0.53 	 W: 0.00
ID: 7	 X: -0.26	 Y: 1.29	 Z: 0.60 	 W: 0.00
ID: 8	 X: 0.50	 Y: 1.32	 Z: 0.53 	 W: 0.00
ID: 9	 X: 1.22	 Y: 8.67	 Z: -0.41 	 W: 0.00
ID: 10	 X: 1.05	 Y: 8.84	 Z: -0.59 	 W: 0.00
bk
ID: 0	 X: -0.26	 Y: 1.29	 Z: 0.60 	 W: 0.00
ID: 1	 X: 0.50	 Y: 1.32	 Z: 0.53 	 W: 0.00
ID: 2	 X: -0.19	 Y: 1.40	 Z: 0.60 	 W: 0.00
ID: 3	 X: -0.09	 Y: 3.49	 Z: 0.46 	 W: 0.00
ID: 4	 X: -0.11	 Y: 3.63	 Z: 0.45 	 W: 0.00
ID: 5	 X: -0.90	 Y: 4.12	 Z: -0.09 	 W: 0.00
ID: 6	 X: -0.93	 Y: 4.23	 Z: -0.16 	 W: 0.00
ID: 7	 X: 1.66	 Y: 4.17	 Z: -0.41 	 W: 0.00
ID: 8	 X: 1.68	 Y: 4.25	 Z: -0.45 	 W: 0.00
ID: 9	 X: 1.25	 Y: 8.68	 Z: -0.34 	 W: 0.00
